beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.20228520,0.04839640,0.00899788,3.84161535
1.09550000,0.22838368,0.06011108,0.01359519,3.76249910
1.09600000,0.25762722,0.07410652,0.01964281,3.57676794
1.09650000,0.30936015,0.09984048,0.03213462,3.22373863
1.09700000,0.35206979,0.12450742,0.04621505,2.98121234
1.09750000,0.42270225,0.16443670,0.06937974,2.56587312
1.09800000,0.48505076,0.20337179,0.09476344,2.29118101
1.09850000,0.53216508,0.23355730,0.11654460,2.13651164
1.09900000,0.57892063,0.26681599,0.14333865,2.01344426
1.09950000,0.61564260,0.29384832,0.16588387,1.92113441
1.10000000,0.64012907,0.31364691,0.18461034,1.87660994
1.10050000,0.65598419,0.32792984,0.19903862,1.85086819
1.10100000,0.66952940,0.34052902,0.21231884,1.83096603
1.10150000,0.68335623,0.35334470,0.22731345,1.82065630
1.10200000,0.69332073,0.36291439,0.23872731,1.81256561
1.10250000,0.70194621,0.37155469,0.24946445,1.80702089
1.10300000,0.70960469,0.37920951,0.25925579,1.80289329
1.10350000,0.71684787,0.38671993,0.26909012,1.79930441
