beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.84328792,0.57234075,0.63987350,1.95337123
1.09550000,0.84549408,0.57433228,0.64378870,1.95171724
1.09600000,0.84654533,0.57543727,0.64562136,1.94976343
1.09650000,0.84573425,0.57463608,0.64415238,1.95075548
1.09700000,0.84682367,0.57557855,0.64686633,1.95256433
1.09750000,0.84752600,0.57620339,0.64702891,1.94882151
1.09800000,0.84844850,0.57711937,0.64883979,1.94807721
1.09850000,0.84871892,0.57717909,0.64934785,1.94919920
1.09900000,0.84862225,0.57741366,0.64865277,1.94553108
1.09950000,0.84871233,0.57757861,0.64944913,1.94680716
1.10000000,0.84860625,0.57725681,0.64940161,1.94883570
1.10050000,0.85052058,0.57936984,0.65302034,1.94542697
1.10100000,0.85059800,0.57927923,0.65291813,1.94573103
1.10150000,0.85141333,0.58018978,0.65425648,1.94360445
1.10200000,0.85235267,0.58118939,0.65617188,1.94259497
1.10250000,0.85192742,0.58101956,0.65578829,1.94259447
1.10300000,0.85235433,0.58101000,0.65570592,1.94241441
1.10350000,0.85267192,0.58167623,0.65705369,1.94195077
1.10400000,0.85359475,0.58251736,0.65829074,1.93999227
1.10450000,0.85261492,0.58170778,0.65689776,1.94127934
1.10500000,0.85489258,0.58374211,0.66079319,1.93920405
